index,slang_word,correct_word
7525,view,ve
7526,mentahannya,
7527,kalahin,kalamin
7528,bunyinya,
7529,ngerii,ngeri
7530,ngenttt,ngengat
7531,49c,
7532,alexandra,
7533,sapii,sapai
7534,ppne,pene
7535,guuysss,
7536,jayadi,jasadi
7537,hilling,heling
7538,woey,we
7539,tung,tang
7540,ahkerat,aherat
7541,asli2,asli
7542,dilink,daling
7543,evander,
7544,dibegal,dibal
7545,iyah,ibah
7546,iyaaa,irama
7547,contents,conteng
7548,35jt,
7549,piaraannya,
7550,diunggah,
7551,wax,wa
7552,mmding,mading
7553,moypa,maya
7554,ouh,oh
7555,sharingan,saringan
7556,kenalin,kenalan
7557,mismo,miso
7558,ellll,
7559,estianti,
7560,souzon,soun
7561,berprilaku,berperilaku
7562,educateyourson,
7563,bundanya,bandana
7564,dandangdang,
7565,fetish,fetis
7566,bayakin,babakan
7567,1hari,
7568,judulnyaa,
7569,suuuuuasuuuuu,
7570,jembatannya,
7571,atitude,altitudo
7572,pintr,pinar
7573,kabulkan,kacukan
7574,autonyabun,
7575,tggl,tagal
7576,ughhh,
7577,hahi,hadi
7578,scater,saber
7579,omonganmu,omongan
7580,emik,emak
7581,kepicirit,
7582,miraa,mira
7583,oiya,odha
7584,mbaknya,makanya
7585,wibowo,wibawa
7586,teriakannya,
7587,heeeeee,
7588,gangertii,
7589,layarnya,layaknya
7590,balasannya,
7591,kmarahan,kemarahan
7592,sumpahhh,sumpah
7593,sheet,sabet
7594,lailahaaillah,
7595,gausah,gusah
7596,dijustifikasi,
7597,balikinnya,
7598,klabu,kelabu
7599,dtang,dang
7600,hahahaha,
7601,diih,diah
7602,suaami,suami
7603,mimentar,memencar
7604,dlaam,daham
7605,3000an,
7606,bungkusin,bungkusan
7607,tuntaskn,tuntas
7608,tambahin,tambahan
7609,gtuh,gaduh
7610,cemen42,cemen
7611,dirumahaja,
7612,nelson,nefron
7613,barengan,barangan
7614,slapp,salap
7615,deeh,deceh
7616,ittu,iptu
7617,maun,magun
7618,trending,tanding
7619,dipikiranku,
7620,dunit,duit
7621,jellas,jelas
7622,benerbener,
7623,korean,koran
7624,ciri2,ciri
7625,ngacau,ngalau
7626,seksix,seksi
7627,nathali,natal
7628,gundikku,gundik
7629,diriwayatkan,
7630,extar,entar
7631,mandatkan,manakan
7632,mieayam,mi ayam
7633,styele,stele
7634,tatapannya,
7635,ributnya,
7636,banyakkan,banyakan
7637,persatu,pekatu
7638,mrene,majene
7639,dirimuu,
7640,sleting,salting
7641,junimart,
7642,problemnya,
7643,dibelakangnya,
7644,laki2nya,
7645,lailahaillaulahh,
7646,prampok,perampok
7647,berlomba2,berlomba
7648,alhu,alau
7649,sweden,sarden
7650,dile,dil
7651,nyimpang,nyampang
7652,kasiang,kasang
7653,palsuh,palsu
7654,saudaranya,
7655,bencna,bencana
7656,semanggat,semangat
7657,msbrrewc,
7658,kejadiannya,
7659,kobayakawa,
7660,terang2ngan,
7661,maulah,malah
7662,perfecto,
7663,parnk,parak
7664,piyee,payet
7665,22x2,
7666,slsai,sesai
7667,komenanya,
7668,nichol,nihil
7669,yuru,yura
7670,sock,skck
7671,huk,hak
7672,setelahnya,serelanya
7673,tauuu,taubu
7674,nannyd,
7675,lacking,lading
7676,vdeo,video
7677,okeiii,
7678,makasiiih,makasih
7679,cayo,cabo
7680,rahimnya,
7681,haduhh,hadiah
7682,okhs,odha
7683,genk,gen
7684,lingkungannya,
7685,timunnya,
7686,sunset,santet
7687,detector,detektor
7688,day,da
7689,ajr,air
7690,ngeluarin,
7691,sekejam,sekejap
7692,tmur,taur
7693,boldong,bodong
7694,membalasnya,
7695,kuhhhhhhh,
7696,yaituu,yaitu
7697,agamany,agamani
7698,mangatasi,mengatasi
7699,sbner,saber
7700,mbahmu,mahmud
7701,gopak,goak
7702,sams,sais
7703,slu,silu
7704,knight,
7705,acarny,acan
7706,fiktor,faktor
7707,tuaaa,tuala
7708,ditiru,dikir
7709,darahku,darah
7710,surprised,
7711,reyza,raya
7712,mujahirin,mujahidin
7713,motomobi,
7714,rsa,ra
7715,mc,m
7716,syarap,sarap
7717,oslo,obo
7718,kumite,komite
7719,ngelaporin,
7720,gtugtuan,
7721,anjrrrr,
7722,jawabanx,jawaban
7723,laudusing,
7724,ajul,abul
7725,kkny,kkn
7726,badbuddy,
7727,mburine,marine
7728,kamerain,kamera
7729,puleennya,
7730,tajamnye,
7731,kebanyakannya,
7732,kbar,kabar
7733,crooottt,
7734,jeno,jeng
7735,mcm,mam
7736,bekasan,bekasam
7737,terjejak,terjebak
7738,resuffle,reshuffle
7739,nginjak,nganjuk
7740,udhh,udeh
7741,astrea,antre
7742,kalonditany,
7743,ngejelasin,
7744,aduhhhh,
7745,barangsiapa,barang siapa
7746,puuuaas,
7747,nyaaaaa,
7748,bajilak,bailau
7749,anuya,abuya
7750,berant3m,berantam
7751,njancuki,
7752,senyumannya,
7753,kintuti,kentut
7754,mnggunakan,menggunakan
7755,ngode,nade
7756,perknt0tn,
7757,gamw,gam
7758,maniz,mani
7759,pghncur,pancur
7760,bnykny,
7761,penampilanmu,penampilan
7762,berd,ber-
7763,klrganya,kiranya
7764,doangg,doang
7765,sugguh,suguh
7766,akuuuuuuttttt,
7767,diindo,dildo
7768,msbrewece,
7769,smpean,sampean
7770,ternaknya,
7771,perfectly,
7772,care,cabe
7773,ngoclok,ngelok
7774,diapart,dapar
7775,bohay,boha
7776,alhamdulilah,alhamdulillah
7777,ajg,abg
7778,sesukses,sukses
7779,selebeb,sekeber
7780,pmrnth,pernah
7781,ntrr,natar
7782,mey,me
7783,benahi,benah
7784,bused,buser
7785,ajjj,aaji
7786,1cm,
7787,jozz,jaiz
7788,wwe,we
7789,tolerannya,
7790,lopyu,layu
7791,idzroil,
7792,geede,gede
7793,britis,babtis
7794,negrie,negri
7795,ngeje,ngaju
7796,heyy,hayo
7797,toni,tani
7798,bellingham,
7799,charging,caring
7800,sononya,
7801,1984,
7802,uwoee,uwete
7803,habistu,habis
7804,kakkkkkk,
7805,diff,daif
7806,oray,orak
7807,56,
7808,bacol,baco
7809,fatehah,fathah
7810,enakkk,enak
7811,icelik,italik
7812,s3x,s
7813,korupin,karupit
7814,ngepe,ngebet
7815,dobbyyyyyy,
7816,nenk,nek
7817,cooler,coker
7818,cara2nyaa,
7819,tandingannya,
7820,guang,gang
7821,hhhhhh,
7822,sdh,sah
7823,motvasi,motivasi
7824,indok,indak
7825,capekkkk,
7826,brisik,berisik
7827,oppie,oppa
7828,animals,adimas
7829,guyzzz,
7830,lajut,labut
7831,sarafnya,sarana
7832,tunjukkan,
7833,namatuhan,
7834,ihhhh,ihh
7835,ngeriview,
7836,isli,ili
7837,jee,je
7838,pakainya,paksina
7839,yntim,yatim
7840,pukqiiiiiii,
7841,ahhaha,ahkana
7842,sepeeti,seperti
7843,ngebuka,nebula
7844,ytjt,yth.
7845,keteneran,ketenaran
7846,hiiya,hanya
7847,memar2,memar
7848,klee,klef
7849,amagine,againe
7850,bn,b
7851,aldzim,alozim
7852,nuakkk,
7853,atasi,aptasi
7854,berliana,berlian
7855,66,
7856,beralis,beralas
7857,aingg,abing
7858,hotter,halter
7859,fkm,fam
7860,aklak,ahlak
7861,freak,falak
7862,diq,di
7863,natizen,netizen
7864,iyakkkk,
7865,taman2,taman
7866,indahya,indah
7867,deeeee,
7868,wkkwkw,
7869,monyor,moncor
7870,uluh,uduh
7871,kanisius,
7872,p3rk40,
7873,mendah,mandah
7874,muliyakan,muliawan
7875,astaghfir,
7876,forrr,ferri
7877,kulap,kalap
7878,hapenned,
7879,gktw,gata
7880,makasa,makara
7881,rizkinya,
7882,jmlh,jah
7883,bugatti,bugat
7884,pertaminaaa,
7885,hubunganx,hubungan
7886,resign,resin
7887,mlindungi,melindungi
7888,ae,a
7889,tekanannya,
7890,qurban,qur'an
7891,ndas,naas
7892,rusuhh,rusuh
7893,milih2,malih
7894,transpan,transpuan
7895,ceee,cece
7896,abisan,abian
7897,lebarnya,
7898,woo,woi
7899,nyalink0,
7900,kentotan,kentutan
7901,yastaky,
7902,mempersiap,memperbiar
7903,opie,oase
7904,addssist,
7905,rekomendasiin,rekomendasi
7906,250,
7907,react2,
7908,ual,ua
7909,soul,siul
7910,gerrard,
7911,repiew,relief
7912,kepla,kepala
7913,sumuk,suduk
7914,cengor,cengo
7915,penish,penis
7916,uncalno,uncang
7917,16,
7918,pecahin,pecahan
7919,nyilu,ngilu
7920,for,foi
7921,tegus,tebus
7922,anjjjjjjj,
7923,berwirausaha,
7924,destroy,dekstro
7925,mawak,macak
7926,direncanakan,
7927,option,opior
7928,hadise,hadis
7929,sekotor,sektor
7930,oncamera,
7931,ngtd,net
7932,raciil,racik
7933,ndale,nyale
7934,freepapua,
7935,cotohin,
7936,montagein,
7937,adune,adun
7938,odal,odol
7939,plesiran,pelesiran
7940,37c,
7941,kekeran,kekehan
7942,hapuslah,hakulah
7943,huha,huda
7944,ganyangka,ganyang
7945,lumerr,lumer
7946,moon0,meong
7947,sokan,sekan
7948,youbi,yodi
7949,parendang,paledang
7950,engaku,engku
7951,dkelola,
7952,ngpa,na
7953,sepotong,selotong
7954,jgnkn,janin
7955,jamilah,jamiah
7956,gisell,gesel
7957,nujukin,nujuman
7958,noche,none
7959,ngewenya,
7960,pergaulannya,
7961,maren,maden
7962,sumptuous,
7963,biarla,biara
7964,wajimm,waima
7965,volly,voal
7966,laurennn,
7967,wonderfuls,
7968,wanitaku,wanita
7969,padhaal,padahal
7970,cowooooo,
7971,polici,polisi
7972,nambh,nambi
7973,ubun,uban
7974,sesamanya,selamanya
7975,bbo,babo
7976,jefry,jera
7977,hehehehh,
7978,mksdya,madya
7979,40jt,
7980,yamalube,
7981,everyting,
7982,dibalesin,
7983,ksini,kini
7984,tutorialnya,
7985,becaknya,beranya
7986,year,ya
7987,terkukus,tekukur
7988,tharntype,
7989,1pihak,
7990,dipamer,diaper
7991,jogedtin,
7992,batman,batan
7993,kekedapan,kekerapan
7994,brrarti,berarti
7995,laaa,laal
7996,fashion,faskon
7997,absolute,absolut
7998,treveling,
7999,mantaff,manta
8000,disetting,
8001,menjauhinya,
8002,tubnail,tunai
8003,adul,abdul
8004,yadika,yakik
8005,tino,tin
8006,p4lestine,palestina
8007,uratnya,
8008,buakn,buak
8009,kerasaa,kerasak
8010,lotree,lotre
8011,semenakutkan,
8012,dipoligami,
8013,pepentil,pelentik
8014,hacurkan,hancuran
8015,membolak,membalak
8016,dideepan,
8017,asikk,asik
8018,pernh,perah
8019,dustain,desain
8020,kebelakang,ke belakang
8021,bbidari,bidari
8022,lalajo,lalaeo
8023,poekan,pekan
8024,kismin,kismis
8025,nyengengin,
8026,tai2,tai
8027,dobg,dobi
8028,makx,mak
8029,selesainya,selekasnya
8030,presidennya,
8031,mnt,mat
8032,hottyt,
8033,diakan,diaken
8034,ngarepe,
8035,jokowidodo,
8036,taati,taat
8037,horny,horak
8038,ngera,ngeri
8039,benihnya,
8040,umpetin,umpetan
8041,byrnya,banya
8042,pinjem,pinjam
8043,95,
8044,wir,war
8045,tojok,togok
8046,tnyo,tabo
8047,konfik,konfiks
8048,kooo,kofo
8049,nct,net
8050,diajaran,dasaran
8051,delalu,dedalu
8052,ucing,uceng
8053,wish,wih
8054,pemerintahannya,
8055,bankung,bakung
8056,minyakny,minyak
8057,pelcehan,pelecehan
8058,sholehot,sholeh
8059,snnttaa,
8060,setertutup,
8061,jele,jeje
8062,rupnua,runut
8063,diusir,desir
8064,ambaruwut,
8065,janjinya,jantina
8066,pael,paes
8067,bacotmu,bacot
8068,kenapanya,kenapang
8069,jogetin,joget
8070,ttau,tau
8071,ginung2,gibung
8072,lekkuu,lektur
8073,sudahi,sudah
8074,dobleh,doble
8075,buri,bari
8076,sapinya,salina
8077,jaglingin,
8078,1ng,
8079,ghalbah,gabah
8080,binilu,baniu
8081,bngz,baga
8082,nengok,nenek
8083,mukanx,makan
8084,vera,vena
8085,ahahhaa,
8086,pisahkan,pisahan
8087,abis2,abis
8088,nobra,naira
8089,disengaja,
8090,hongkong,hangkang
8091,rakussst,
8092,nyumbang,nyambing
8093,ayy,ayo
8094,tutuplah,tutupan
8095,congormu,congor
8096,ngisor,ngiler
8097,beautifull,
8098,bangkitkn,bangkitan
8099,jangn,jangan
8100,angela,angel
8101,bismilla,bismillah
8102,debad,deba
8103,ngefek,nenek
8104,asyiiik,asyik
8105,smoker,smokel
8106,ahelah,ahlah
8107,pedihnya,
8108,nusapenida,
8109,switi,siti
8110,nmor,nomor
8111,jadiiin,jadian
8112,hoax,ha
8113,menterinya,
8114,dimainkan,dimakan
8115,kontelu,kongalu
8116,wkwkwwkkwkwkwkwkw,
8117,mila,mala
8118,telekk,telek
8119,sarkem,sagem
8120,bijaklah,bajakah
8121,diperbaiki,
8122,record,recok
8123,fyp2,
8124,cvk,cak
8125,tolol2,tolol
8126,sumala,sala
8127,boang,baang
8128,gbsa,gasa
8129,benarr,benar
8130,gamparinn,gamparan
8131,gaww,ga
8132,poninya,penanya
8133,pahikk,pacik
8134,pastik,pantik
8135,mknan,munan
8136,009,
8137,tayangnya,
8138,kepolisi,kemolisis
8139,anjiurr,anjir
8140,monic,moni
8141,hahahhahahaha,
8142,gedein,gedean
8143,tanganny,tangan
8144,walaikumsalam,
8145,nangkep,nangka
8146,tehyung,tehpung
8147,alfatta,alata
8148,wardani,wadan
8149,bolech,boleh
8150,sangek,sandek
8151,jelly,jela
8152,yallah,yalilan
8153,meraka,melaka
8154,whatttt,
8155,korpo,kopo
8156,bersabarlah,
8157,astafirlah,
8158,alisntebel,
8159,edotense,
8160,jepan,japan
8161,200,
8162,ugh,uga
8163,blak,bak
8164,alwaysss,
8165,afghanistan,afganistan
8166,bangget,banget
8167,anjgg,ajeg
8168,aidi,abdi
8169,beracon,beracun
8170,bgett,baget
8171,tersesadddd,
8172,common,colon
8173,nch,nah
8174,rendank,rendang
8175,setega,setegak
8176,woilh,wih
8177,hmzzzzzz,
8178,dikasi,dikati
8179,evelynhut,
8180,binasaaaa,
8181,hallo,halo
8182,musrryy,
8183,nggilani,
8184,toketnyamontoksekali,
8185,ambill,ambil
8186,ditelen,ditel
8187,plisdeh,plisket
8188,sdang,sadang
8189,dipijit,
8190,10004,
8191,banyain,bahrain
8192,hammer,hamper
8193,ditt,diat
8194,bace,babe
8195,awokoawoaw,
8196,gatujukin,
8197,gemtleman,
8198,samanthara,
8199,naudzubillahimindzalik,
8200,liatin,latin
8201,ies,iles
8202,ktwa,kta
8203,bahhhh,
8204,cihuyy,cihui
8205,huakbar,hambar
8206,turuti,turut
8207,kbuka,kabuki
8208,worn,won
8209,chalenge,
8210,maapp,maab
8211,xixixix,
8212,endatu,enau
8213,tembusss,tembus
8214,siroyoo,sirobok
8215,ashare,ahare
8216,ghazali,gazal
8217,manatap,mantap
8218,leungeun,leunjeur
8219,turunannya,
8220,teryata,ternyata
8221,ngetat,nekat
8222,dijahit,dinamit
8223,masspurrr,
8224,kawas,kadas
8225,gimna,gimana
8226,savekids,
8227,blind,baid
8228,serambinya,
8229,pukix,puki
8230,tyson,takson
8231,youporn,
8232,sllu,silu
8233,dibuat2,
8234,bantuannya,
8235,dwe,dae
8236,obt,obat
8237,lama2,lama
8238,yy,y
8239,bossnya,bosnia
8240,aowkoakwo,
8241,merdekaa,merdeka
8242,mesbrew,
8243,dy,d
8244,diosas,dioses
8245,kwwkkwk,
8246,meti,mati
8247,euyy,esay
8248,peninda,penanda
8249,diserahkan,disunahkan
8250,disoting,
8251,emannya,empunya
8252,lgi2,lagi
8253,icobos,
8254,america,amerika
8255,tlng,tang
8256,salab,sala
8257,ghafur,gafur
8258,bs2,b
8259,bangdedy,bangdes
8260,asikin,abidin
8261,kadernya,kadensa
8262,nyesuain,
8263,pree,pre-
8264,tepal,tapal
8265,kilometernya,
8266,kacauuuu,
8267,nyq,ny.
8268,judol,judo
8269,hahu,halu
8270,batali,batai
8271,kwkwkkw,
8272,kakaa,kakah
8273,tipiss,tipis
8274,gairahx,gairah
8275,soekarno,
8276,situlah,setelah
8277,invest,id est
8278,orgg,odgj
8279,hatikah,hadiah
8280,wik2,wiki
8281,l3c3hin,
8282,ant,abt
8283,cewekny,cewek
8284,amay,alay
8285,mahkotanya,
8286,sejiwa,secina
8287,ed,e
8288,wherever,
8289,digoyang2,
8290,buakakakkakaa,
8291,saudaraku,saudara
8292,mpean,macan
8293,mengg,menag
8294,ze,z
8295,cegil2,cagil
8296,reasi,rasi
8297,merchandise,
8298,amk,abk
8299,adick,adik
8300,aware,ahare
8301,crane,cane
8302,banyaknya,
8303,zahrah,zarah
8304,ayt,abt
8305,gerebeknya,
8306,wlyh,wlh
8307,rsnya,rana
8308,nanggung,nandung
8309,dibanting,
8310,sekali2x,sekali
8311,triusla,trisula
8312,mantaabb,mantab
8313,kadrun,kadru
8314,tanteaku,
8315,ygkayak,
8316,fr,f
8317,toleransinya,
8318,tobariii,
8319,terbalaskan,teralahkan
8320,pamanku,paman
8321,thoo,tabo
8322,katakanlah,katakana
8323,gooblok,goblok
8324,shilvia,silia
8325,ngamar,nadar
8326,koleb,kolab
8327,lindungin,lindungan
8328,nemenin,
8329,hihikhikhik,
8330,nyatanyaa,
8331,pertaruhkan,pertaruhan
8332,uuuuuu,
8333,expert,emper
8334,melawannya,
8335,nempo,napo
8336,sruduk,seruduk
8337,mereshkn,meresahkan
8338,sikopret,
8339,hha,ha
8340,kuluwawe,
8341,tertip,teritip
8342,amsemcure,
8343,dilakukan,
8344,belaa,bela
8345,syokkk,syikak
8346,ahhoy,aho
8347,riviewnya,
8348,mskin,makin
8349,males,mabes
8350,nawawi,nabawi
8351,kesano,kesan
8352,jumlahnya,
8353,menggalaksak,menggalakkan
8354,foto2,foto
8355,modelan,memelan
8356,gabolehh,
8357,rerap,redap
8358,brondong,berondong
8359,aminkan,alingan
8360,leuser,lenser
8361,ngra,nira
8362,konthol,kontol
8363,special,spesial
8364,temui,temu
8365,mapopopopopopopopopo,
8366,masyar,mahsyar
8367,mmng,mang
8368,wayah,wabah
8369,bdosa,bosa
8370,krg,kg
8371,gelom,gelam
8372,genuine,gending
8373,kebingkar,keningar
8374,nyempplung,nyamplung
8375,lentuhin,lentun
8376,sewenang,sejenang
8377,subkereb,
8378,dahani,dahagi
8379,2021,
8380,100gb,
8381,seandaiya,seandainya
8382,susupkan,susukan
8383,succesful,
8384,diginiin,
8385,5g,
8386,b0kep,bokep
8387,pimbiri,pemberi
8388,ihr,ih
8389,sasimoo,sasambo
8390,nakk,naik
8391,aneh2,aneh
8392,hcx,h
8393,dianjurkan,dibujurkan
8394,tungjuk,tunjuk
8395,ival,igal
8396,mndapatkan,mendapatkan
8397,vocal,voal
8398,beuty,baut
8399,bancii,bancei
8400,disuapin,disain
8401,jujur2an,jujuran
8402,sapaikan,sadarkan
8403,detikcom,
8404,fallow,falowa
8405,ngeliat,ngengat
8406,dijaman,dalaman
8407,jablay,jaba
8408,nikolas,
8409,haduhhh,
8410,anita,anit
8411,ngibrit,nitrit
8412,guys,gus
8413,porsting,posting
8414,sadar2,sadar
8415,moal,mal
8416,barges,bargas
8417,namen,najen
8418,mamamamimimi,
8419,dipengaruhi,
8420,muito,maido
8421,ngelepas,
8422,apolgi,apologi
8423,whith,wih
8424,sikhan,sahan
8425,girls,giras
8426,vn,v
8427,kurangin,karangan
8428,sebelumya,sebelum
8429,becandaan,belanjaan
8430,risetmu,riset
8431,difoto,dinoyo
8432,perenpuan,perempuan
8433,shady2695,
8434,brayyy,
8435,maenn,mabna
8436,komitment,komitmen
8437,chol,chop
8438,wkwkwwkk,
8439,oyyy,oyak
8440,syiah,siah
8441,blutut,butut
8442,krungu,karung
8443,keempat,kedemat
8444,oya,oga
8445,mupon,muon
8446,cheater,ceter
8447,pentul,pantul
8448,berputih,berputik
8449,wkwk,wak
8450,twist,twit
8451,angapannya,
8452,mni,mai
8453,dipicu,
8454,droe,drop
8455,komnt,komet
8456,kdng,kang
8457,outfitnya,
8458,bdan,badan
8459,shalssa,salsa
8460,penceng,pencong
8461,muldongo,melongo
8462,takotnyee,
8463,kebencianya,kebencian
8464,ajip2,aji
8465,baikmu,baik
8466,ngomng,ngeang
8467,dikota,dikara
8468,dinamakan,dimakan
8469,jgt,jet
8470,kendalinya,
8471,aussie,auksi
8472,nugini,nini
8473,jaxpena,jampen
8474,baee,babe
8475,kaluan,kalan
8476,melong,meleng
8477,koclok,kocok
8478,156,
8479,teriaknya,
8480,tunjukin,tungkin
8481,pergh,perah
8482,blingbling,
8483,dibatasi,dilatasi
8484,gudluck,guluk
8485,masiyoh,makiyah
8486,adili,adidi
8487,perbokepan,peroketan
8488,1tim,
8489,kurgg,kargo
8490,sidin,sadin
8491,drible,doble
8492,polisiiiiii,
8493,prikk,parik
8494,lonely,lone
8495,nerimaa,nrima
8496,watna,waina
8497,eenak,enak
8498,ftonya,fonta
8499,1080p60,
8500,skidipapap,
8501,ngepot,ngejot
8502,haifaaaa,
8503,nyahoklu,
8504,ower,ofer
8505,kandungnya,
8506,yaallahhh,
8507,malca,mala
8508,cari2,cari
8509,ngrasa,narasi
8510,piece,pece
8511,sempaknye,sampanye
8512,hmmmz,
8513,zaaa,za
8514,nj7ig6zj5e,
8515,kuattin,kantin
8516,lasung,ladung
8517,bowok,bewok
8518,highlightnya,
8519,mngg,maag
8520,takbirrr,takbir
8521,tidk,tid
8522,masiih,masih
8523,kakik,kacik
8524,nyanteee,
8525,juh,jah
8526,stau,siau
8527,sudahilah,
8528,pmerintahn,pemerintah
8529,warokk,warok
8530,motivasinya,
8531,buminya,
8532,siapin,silpin
8533,dianggurin,
8534,tetantu,tematu
8535,kruptor,koruptor
8536,tercyduk,terciduk
8537,dasarny,dasar
8538,leboh,lebah
8539,merd,mer
8540,disetiap,diserap
8541,justiceforwomen,
8542,segerrr,segeger
8543,bentuknya,
8544,diary,diar
8545,lgbukti,
8546,terusin,terusan
8547,meknya,makanya
8548,uwhhh,
8549,drnjang,dandang
8550,romero,roker
8551,lawaran,lamaran
8552,assalammulaikum,assalamualaikum
8553,aplot,alot
8554,ilaha,ilah
8555,katax,kata
8556,nanyain,
8557,sikattttt,
8558,bunmay,binmas
8559,kon,kan
8560,now,no
8561,fab,fa
8562,anknya,adanya
8563,kshan,kahan
8564,muuu,mutu
8565,mendaptkan,mendapatkan
8566,vedeo,video
8567,tgk,tak
8568,antemi,antem
8569,shell,sel
8570,semak2,semak
8571,someone,sombong
8572,sstttt,
8573,aap,aa
8574,propensi,propinsi
8575,diamond,damong
8576,bim,bam
8577,gokilnya,gorilya
8578,aowkwowk,
8579,pipisnya,
8580,wal,wa
8581,diperkaos,diberkas
8582,kometar,komentar
8583,ttng,tang
8584,wkwkwkwkwkkwkww,
8585,mario,mari
8586,ngejarah,
8587,filling,fiting
8588,nurusi,narasi
8589,smaa,sma
8590,dmno,dako
8591,pc,p
8592,memerangimu,memerangi
8593,18plus,
8594,join,jin
8595,gies,gips
8596,nys,nas
8597,10bln,
8598,cant,cane
8599,lain2,lain
8600,asumatra,asmara
8601,iphone,ipon
8602,normalisasikan,
8603,bangee,banget
8604,mengsama,mengaca
8605,kentuttt,kentut
8606,marrid,magrib
8607,seky,sek
8608,beginilah,beginian
8609,diatur,danur
8610,250cc,
8611,puasamu,pualam
8612,dipantau,
8613,kulrga,kolega
8614,olloh,oalah
8615,dirikan,didikan
8616,trendingggg,
8617,amisnya,amina
8618,dafaatmaja,
8619,pnp,pdp
8620,oshimen,
8621,diplaster,
8622,hilangg,hilang
8623,kongono,kogongo
8624,dikalikan,
8625,plank,plak
8626,ehmm,ebam
8627,a4,a
8628,dicomot,domot
8629,34jt,
8630,percayaa,percaya
8631,pikmie,pidie
8632,bangeeeeeeet,
8633,maav,maab
8634,selelu,selalu
8635,mksdbya,
8636,ex,e
8637,udaa,uda
8638,utingny,
8639,inpoo,impor
8640,viwers,vifer
8641,mentolo,mentol
8642,pregnant,
8643,enakk,enak
8644,hayoooooo,
8645,menghiba,menghina
8646,didaerah,daerah
8647,mandgri,mandiri
8648,gitek,getek
8649,ridhony,ridho
8650,sedihhhhh,
8651,celsna,celana
8652,3,
8653,gerakaja,gerakan
8654,mergo,mego
8655,saujana,sarjana
8656,innalillahi,
8657,biyar,bayar
8658,eliatan,
8659,brpikir,berpikir
8660,ugal2an,
8661,didalamnya,
8662,kentutin,kentutan
8663,veloctyyy,
8664,ent,ebt
8665,nerakaa,neraka
8666,chinese,
8667,tangan2,tangan
8668,ciah,cah
8669,ebl,ebi
8670,doomed,dolmen
8671,ngebodohin,
8672,nyembuul,
8673,hiya,hia
8674,mahrnii,mahoni
8675,doel,del
8676,tranver,tanker
8677,vidonya,
8678,kreen,karees
8679,kobokkan,kobokan
8680,cnggung,canggung
8681,nangess,
8682,ikhla,ikhlas
8683,metalnya,menanya
8684,t4,t
8685,program2,program
8686,knlan,kalan
8687,pliket,piket
8688,pasangangan,
8689,griek,gaek
8690,astaghfirullah,astagfirullah
8691,mention,mantion
8692,batiktok,
8693,diguna,dwiguna
8694,bgt,bat
8695,rifkys,
8696,somai,semai
8697,persiden,persen
8698,syumbying,sumbing
8699,nyogok,ngorok
8700,strawberry,
8701,ngaaaaacuueeeeng,
8702,sarankan,saranan
8703,laboon,laban
8704,logiiikaaaa,
8705,pecahhh,pecah
8706,sengg,seng
8707,uyup,ugup
8708,bringing,beringin
8709,kingdom,kondom
8710,standarnya,seandainya
8711,preciosaa,
8712,tobattt,tobat
8713,penadahnya,
8714,febyana,
8715,du,d
8716,keisengan,keasingan
8717,dasyat,dahsyat
8718,implab,implan
8719,jembud,jembut
8720,aduhh,aduh
8721,kegeden,kegedean
8722,mnton,maton
8723,penjumblaan,penjumlahan
8724,kesalahanmu,kesalahan
8725,membala,membaca
8726,ts,t
8727,lembutt,lembut
8728,wooooowwww,
8729,mankanya,makanya
8730,gestring,gastrin
8731,3minggu,
8732,pnyakit,penyakit
8733,seet,sebet
8734,dikatakan,
8735,lahhhh,
8736,kegebunshin,
8737,ngjak,nahak
8738,wokowkow,
8739,yekan,yakai
8740,babaunya,babaun
8741,nuwun,namun
8742,jkrtaa,
8743,bagiku,bacik
8744,wakwaw,wakwak
8745,hahhaahhahah,
8746,opm,ohm
8747,klambine,kambing
8748,ndrooo,ndoro
8749,terkuat,terbuat
8750,tapiiii,
8751,nyasar,nasar
8752,komennin,
8753,bosssku,
8754,toleransinyaa,
8755,kenapa2,kenapa
8756,dipakek,diaken
8757,astaghfirrulloh,
8758,binik,benik
8759,konyen,konjen
8760,niruin,niasin
8761,instrospeksi,introspeksi
8762,tample,tale
8763,brantah,bantah
8764,selingkuhnya,
8765,zonx,zona
8766,busettt,buset
8767,mbz,mb
8768,nemperingat,
8769,seduniahhhhhh,
8770,bper,baper
8771,ngimana,ngiang
8772,tmnku,taku
8773,iam,ia
8774,gurly,gual
8775,diqontoli,
8776,zalll,zal
8777,31,
8778,snjtjtu,
8779,peribumi,peribudi
8780,biarinnn,
8781,ntann,nan
8782,near,nenar
8783,12ribu,
8784,digitalmu,digital
8785,itumahh,itulah
8786,menjatukan,menjamukan
8787,latto,lago
8788,dispill,
8789,bundamu,bendalu
8790,tergntung,tergantung
8791,pegang2,pegang
8792,ijoi,ijo
8793,belasteran,blasteran
8794,patric,patri
8795,kdua,kedua
8796,mintamaaf,minta maaf
8797,uzu,ucu
8798,born,bon
8799,ngentotin,
8800,bayangkan,bayangan
8801,diperkosa,diperkaya
8802,sebernarnya,sebenarnya
8803,istrku,istri
8804,qrtis,
8805,mutusin,muhsin
8806,psv,psh
8807,brody,beroda
8808,turuae,termae
8809,qg,q
8810,gsm,gam
8811,save,sage
8812,sebener,sebeng
8813,flognya,
