Label_Validator,Emoji,Count,Emoji_Asli
0,emoji_palms_up_together_light_skin_tone,36,emoji_palms_up_together_light_skin_tone
0,emoji_palms_up_together,127,emoji_palms_up_together
0,emoji_water_wave,11,emoji_water_wave
0,emoji_crescent_moon,5,emoji_crescent_moon
0,emoji_writing_hand,1,emoji_writing_hand
0,emoji_kiss_mark,61,emoji_kiss_mark
0,emoji_blossom,5,emoji_blossom
0,emoji_butterfly,35,emoji_butterfly
0,emoji_anger_symbol,4,emoji_anger_symbol
0,emoji_ribbon,37,emoji_ribbon
0,emoji_broken_heart,195,emoji_broken_heart
0,emoji_face_with_open_mouth,110,emoji_face_with_open_mouth
0,emoji_fairy_light_skin_tone,3,emoji_fairy_light_skin_tone
0,emoji_sunflower,15,emoji_sunflower
0,emoji_red_question_mark,8,emoji_red_question_mark
0,emoji_hamster,2,emoji_hamster
0,emoji_face_screaming_in_fear,68,emoji_face_screaming_in_fear
0,emoji_nerd_face,35,emoji_nerd_face
0,emoji_face_with_tongue,8,emoji_face_with_tongue
0,emoji_face_blowing_a_kiss,161,emoji_face_blowing_a_kiss
0,emoji_money,6,emoji_money
0,emoji_tropical_fish,1,emoji_tropical_fish
0,emoji_dolphin,2,emoji_dolphin
0,emoji_bone,1,emoji_bone
0,emoji_brain,3,emoji_brain
0,emoji_poultry_leg,1,emoji_poultry_leg
0,emoji_tiger,1,emoji_tiger
0,emoji_rightwards_pushing_hand_light_skin_tone,1,emoji_rightwards_pushing_hand_light_skin_tone
0,emoji_sign_of_the_horns_light_skin_tone,6,emoji_sign_of_the_horns_light_skin_tone
0,emoji_cherries,7,emoji_cherries
0,emoji_coral,3,emoji_coral
0,emoji_jellyfish,4,emoji_jellyfish
0,emoji_palm_down_hand_light_skin_tone,1,emoji_palm_down_hand_light_skin_tone
0,emoji_oncoming_fist_medium,1,emoji_oncoming_fist_medium
0,emoji_grinning_face_with_big_eyes,67,emoji_grinning_face_with_big_eyes
0,emoji_leftwards_pushing_hand_medium,1,emoji_leftwards_pushing_hand_medium
0,emoji_ogre,18,emoji_ogre
0,emoji_flexed_biceps_light_skin_tone,4,emoji_flexed_biceps_light_skin_tone
0,emoji_smiling_face_with_heart,357,emoji_smiling_face_with_heart
0,emoji_grinning_face,138,emoji_grinning_face
0,emoji_headphone,7,emoji_headphone
0,emoji_love_hotel,1,emoji_love_hotel
0,emoji_spiral_notepad,1,emoji_spiral_notepad
0,emoji_lollipop,3,emoji_lollipop
