komentar_id,Username,T_komentar,link
7551405238948725512,always.snhh,😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551206838423962376,ieka.kenn,😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550923120640951048,my_robii,😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550799887739683602,meysaaaa_1,😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7555103181329302280,noviaanandaaa_,@kana,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550841908596589320,poyoyoiiuy,😭😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550730550064677640,tecynneca,gerakan jatonya sibuk bangett😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551080199166329617,scaryreyy_,hargai kak dia lagi berusaha berhenti 😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7571637207480795922,nostargias,@️@umeyy 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7571653380381295378,de_zens,😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7569815508986168084,siapa_ya654,@dinaa @⚘⚘ @cattt_🫧🐱 @al bejir,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7551343889312269063,oleeeyes,@mercylicious.n @Gkero @ف @ym @taratausdh 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7558057608311522056,21260509be,@je @ri @Piii @🍓 @𝓐𝓶𝓪𝓪  ˃ᯅ˂ 𐙚˚ @alya 😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7569415565565494034,naylazhng,@key k nya kebab @jappie🥧 💀😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7571001889064747783,catiezcnsa,@Manusiabiasa ngakak😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7573875801147130644,damoby0,hentikan hentikan nanti berantem lagi😆😆😆😆,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7579277333766079239,barxx70,ngakak 🗿😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7574204610669216519,bibilaja10,pentingnya koma,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7574821387371234069,yanti.nurzaelani,padahal kalo pasrah gak bakalan seheboh itu😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550892687425225489,allzxy4,@'stressss😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7568432585220457233,ynach09_2,@⋆𐙚raaa @arthadenva @bananaa🦖 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7555469527941874439,nndiya_aa,@nàyee @adindajeng @menggೀ 😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7555471608581407506,amelianjwaa_,😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7550888277466301185,kzuhaa47_,@a 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7569192482303574805,wonder_womandiez,@mieayamm @tasya 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7568102234853638919,ptrhrnns,@its.ksya @𓃠 te kuatt😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7568026520741724935,_naffyy,@C♡ 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7568026520741724935,_naffyy,@C♡ 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7567093795649880833,tailuye,@n @tsya kyk gini KLO Nasya muncak😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7567124333387514631,nasyaskkeju,🙄😭😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7575003958747513618,rrraaayys,@𝖆. momen dicurug kala itu😔😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7575004233776136981,stlawbeyyiiii,"deyy, rohnya bentar"" keangkat plisss 😭",https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7569925232821486337,n0ott4,@lann 😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7569605095789888263,belov3d.tby,GA KUAT ANJIR 😭😭😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7566115786038821652,acila385,@Yann🚀 😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7563955058887803656,calmione0,@basyarr,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7564000081910334215,basyarr13_,iyalagi😭😭😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7564004244955038472,calmione0,ea ea,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7562625642740384519,rinirinie97,@Mieyuuuuuuuuuu 😭,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7562654472166933266,meowmyyyyyyyyyyy,😂,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7561257548939182868,adindaadwii01,@kaaa delok,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7557615438562329362,pisscessgirlsssss,@Mayaa wwkwkwkwkwkwkw,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7557700379467694864,icceeamericanoo,keinget temen kee jadinya aku,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7557106154897081095,sfa_adrn,@bigjim @ناديا,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7557224655716582151,nadiaelyanaa,bestnyemmmmm,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7552497474793423634,achagyu,@lune 🍉 @sar 😔,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
7552040721173512961,wnnndyyyyyyy,@v 🤣🤣,https://www.tiktok.com/@kyshaaa02_/video/7549780272535981320
