komentar_id,Username,T_komentar,link
7468495204093346566,jjiiewss,dih,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468325167098708754,imtheonly_14u,"aku suka nyari gara"" di komen orang kak, jadinya sering kena hujat, keknya aku udah nyerah duluan jadi tiktokers😭",https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468274712306549520,aicy_yya,kak?dih,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468208368789897991,gataaauuuuhhhh,dihh😹😹,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468171883516216069,overpower_991,DIH,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468168230276858632,callme_div2,dih,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468147980110349063,gummyy_sss,kak? dihh,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468133806618395412,nadiyyae,😭o,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468097889925333778,user208614728_,dih,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468084132037133063,na_nonchalant3,dih😹😹,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468182011761443602,amellsza_,😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7470850219851039506,siskayuandis_,🙏🙏😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468732383002837765,slvii_____,😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468647182426571528,sheshfiera_,😭😭😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468643963776729874,saviorvenom,😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468630193373758224,yuyungg11_,😭😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468566179181118216,pr1nc3ss_777,@Cancergirll🦀 😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468325741743866642,cipiaa2010,😂😂😂,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468315415501308678,cuontopp,@rawr🦁 @t,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468245558437069575,m18la,😭😭🙏🏻,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468236604861416209,diandarmayaanti,😭😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468053905169498888,lihat17balasan_,kumisannn kaya sumanto,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468303130708984583,udzrieaulia,"oke masuk list,tahan…",https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468506492564701973,tipnamanya123,bulu onyet,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468340295618675462,elysaacuwwek,@imoett✪ @-rnyyα֟α ୨ৎ 😭😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468703371055301381,naufalraissa27,🤤,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468928184307385096,nut.indah,lah?emang bakal jadi tiktoker?😂😂,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468326650981466885,pylomaruk,@🥶 🗿,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468649885433299717,usr979797,😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468524789108458256,linamatondaangg,ini pasti Anto yg korban lc,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468976386163442439,sulawesi_ocean2005,ga ke bayang bulu itu nya lebat nya kek gimana😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468625221525357320,lutfi0155,@cndy_ag mett,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468626947628696340,cindydesii_,gah we ae,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468522636805669650,delvaaa_0,😭😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7469028590102921992,andiniyyyy45,TF kak bli seblak,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468337312164250375,_khrnnaa,gapapa ka aku juga cwe kumisan😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468886352953770757,y4ni_14,masuk list apa niee?? kaa??,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468318702871757574,icutt223,🗿,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7472795195420525320,veteranx._,😂,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468644415575442192,123fhfzvg,kakanya cantik,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468625084216722184,amchf__,eh ini yng main di hotell dulu lc ya,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7578450642365235986,aicia457,punya muka banyak bulu kek jemboedd😹😹,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468631414452699911,jwomenyou,😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468618714527630098,.f1zrrr115,jangan mimpi jadi tiktokerss 🤣🙏🏻,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468584769367687944,leviicha,cntk,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468575957693055764,kevinnxml,kasihan kumisan😹,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468068727993533189,pinamutmainahh,HEH!!!!😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468315184760161031,catra1887,aman gasi ni?,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468372218416153351,souma.kyy,"aman bg, ntar bakal di TF kok🗿",https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468986117431575304,s1lenced_7,😭😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468079934788305672,unknown.021_,ka?,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468230295129850632,tungrajin1badah,gem✋,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468244600249008903,ijaaaaa_sj,pahammm🗿,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468234421168423701,nunsukayaping,fb kakz🙃,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468318232730927880,beachxylaa_,heh😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468318580178993927,catra1887,tes mental dia bg wkwk,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468318637109396242,beachxylaa_,cwe lohh sy😭🙏,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
7468142448831529736,szz_stecu,plisssssss 😭😭😭,https://www.tiktok.com/@udzrieaulia/video/7467920197777706246
