experiment_id,conv_filters,lstm_units,dense_units,kernel_size,drop_embed,drop_conv1,drop_conv2,drop_bilstm,drop_dense,batch_size,test_accuracy,test_precision,test_recall,test_f1,
1,64,64,64,3,0.2,0.3,0.3,0.3,0.5,32,73.60%,73.47%,68.54%,70.48%,
2,64,64,64,3,0.2,0.3,0.3,0.3,0.5,64,73.58%,72.00%,71.46%,71.54%,
3,64,64,64,5,0.2,0.3,0.3,0.3,0.5,32,73.47%,73.23%,68.53%,70.36%,
4,64,64,64,5,0.2,0.3,0.3,0.3,0.5,64,74.22%,72.74%,70.45%,71.46%,
5,64,64,64,7,0.2,0.3,0.3,0.3,0.5,32,74.50%,73.56%,70.41%,71.82%,
6,64,64,64,7,0.2,0.3,0.3,0.3,0.5,64,72.82%,70.01%,71.52%,70.62%,
7,64,64,128,3,0.2,0.3,0.3,0.3,0.5,32,73.75%,73.94%,68.01%,70.59%,
8,64,64,128,3,0.2,0.3,0.3,0.3,0.5,64,72.93%,70.56%,71.00%,70.67%,
9,64,64,128,5,0.2,0.3,0.3,0.3,0.5,32,74.26%,73.60%,70.16%,71.62%,
10,64,64,128,5,0.2,0.3,0.3,0.3,0.5,64,74.20%,72.99%,70.33%,71.54%,
11,64,64,128,7,0.2,0.3,0.3,0.3,0.5,32,74.86%,72.64%,72.81%,72.66%,F1 dan recall  Paling tinggi
12,64,64,128,7,0.2,0.3,0.3,0.3,0.5,64,74.22%,72.44%,72.72%,72.50%,
13,64,128,64,3,0.2,0.3,0.3,0.3,0.5,32,74.05%,72.11%,71.54%,71.56%,
14,64,128,64,3,0.2,0.3,0.3,0.3,0.5,64,72.74%,72.35%,69.40%,70.50%,
15,64,128,64,5,0.2,0.3,0.3,0.3,0.5,32,73.25%,72.52%,70.75%,71.31%,
16,64,128,64,5,0.2,0.3,0.3,0.3,0.5,64,72.14%,71.60%,69.62%,70.08%,
17,64,128,64,7,0.2,0.3,0.3,0.3,0.5,32,74.13%,74.61%,69.12%,71.49%,
18,64,128,64,7,0.2,0.3,0.3,0.3,0.5,64,72.83%,71.98%,70.03%,70.70%,
19,64,128,128,3,0.2,0.3,0.3,0.3,0.5,32,74.95%,73.98%,70.10%,71.72%,akurasi paling tinggi
20,64,128,128,3,0.2,0.3,0.3,0.3,0.5,64,74.03%,72.74%,70.83%,71.53%,
21,64,128,128,5,0.2,0.3,0.3,0.3,0.5,32,74.50%,73.62%,70.20%,71.70%,
22,64,128,128,5,0.2,0.3,0.3,0.3,0.5,64,73.12%,73.69%,68.25%,70.31%,
23,64,128,128,7,0.2,0.3,0.3,0.3,0.5,32,74.11%,72.27%,70.77%,71.33%,
24,64,128,128,7,0.2,0.3,0.3,0.3,0.5,64,74.78%,75.13%,69.43%,71.76%,
25,128,64,64,3,0.2,0.3,0.3,0.3,0.5,32,74.37%,74.44%,70.40%,71.98%,
26,128,64,64,3,0.2,0.3,0.3,0.3,0.5,64,73.57%,72.20%,70.36%,71.12%,
27,128,64,64,5,0.2,0.3,0.3,0.3,0.5,32,73.32%,72.97%,70.79%,71.32%,
28,128,64,64,5,0.2,0.3,0.3,0.3,0.5,64,73.43%,71.92%,71.01%,71.36%,
29,128,64,64,7,0.2,0.3,0.3,0.3,0.5,32,73.73%,73.25%,69.15%,71.05%,
30,128,64,64,7,0.2,0.3,0.3,0.3,0.5,64,74.63%,73.67%,71.28%,72.36%,
31,128,64,128,3,0.2,0.3,0.3,0.3,0.5,32,73.43%,73.23%,66.59%,69.47%,
32,128,64,128,3,0.2,0.3,0.3,0.3,0.5,64,73.98%,73.53%,70.65%,71.90%,
33,128,64,128,5,0.2,0.3,0.3,0.3,0.5,32,74.18%,75.19%,69.73%,71.99%,presisi paling tinggi
34,128,64,128,5,0.2,0.3,0.3,0.3,0.5,64,74.15%,72.60%,71.00%,71.58%,
35,128,64,128,7,0.2,0.3,0.3,0.3,0.5,32,73.51%,72.68%,70.00%,71.18%,
36,128,64,128,7,0.2,0.3,0.3,0.3,0.5,64,74.02%,72.64%,70.40%,71.44%,
37,128,128,64,3,0.2,0.3,0.3,0.3,0.5,32,72.97%,72.30%,70.65%,71.29%,
38,128,128,64,3,0.2,0.3,0.3,0.3,0.5,64,73.66%,71.23%,71.17%,71.14%,
39,128,128,64,5,0.2,0.3,0.3,0.3,0.5,32,73.38%,71.40%,72.58%,71.70%,
40,128,128,64,5,0.2,0.3,0.3,0.3,0.5,64,73.58%,72.74%,69.05%,70.57%,
41,128,128,64,7,0.2,0.3,0.3,0.3,0.5,32,72.65%,71.93%,69.62%,70.41%,
42,128,128,64,7,0.2,0.3,0.3,0.3,0.5,64,73.60%,72.54%,70.66%,71.32%,
43,128,128,128,3,0.2,0.3,0.3,0.3,0.5,32,73.43%,72.06%,70.11%,71.00%,
44,128,128,128,3,0.2,0.3,0.3,0.3,0.5,64,73.47%,71.80%,72.68%,72.06%,
45,128,128,128,5,0.2,0.3,0.3,0.3,0.5,32,73.57%,71.37%,70.97%,71.12%,
46,128,128,128,5,0.2,0.3,0.3,0.3,0.5,64,74.43%,73.80%,70.03%,71.54%,
47,128,128,128,7,0.2,0.3,0.3,0.3,0.5,32,72.72%,71.54%,71.66%,71.35%,
48,128,128,128,7,0.2,0.3,0.3,0.3,0.5,64,72.52%,70.80%,72.47%,71.42%,
