experiment_id,batch_size,conv_filters,kernel_size,lstm_units,dense_units,drop_embed,drop_conv1,drop_conv2,drop_bilstm,drop_dense,test_accuracy,test_precision,test_recall,test_f1,Unnamed: 15
1,32,64,3,64,64,0.2,0.3,0.3,0.3,0.5,73.6%,73.47%,68.54%,70.48%,
7,32,64,3,64,128,0.2,0.3,0.3,0.3,0.5,73.75%,73.94%,68.01%,70.59%,
13,32,64,3,128,64,0.2,0.3,0.3,0.3,0.5,74.05%,72.11%,71.54%,71.56%,
19,32,64,3,128,128,0.2,0.3,0.3,0.3,0.5,74.95%,73.98%,70.1%,71.72%,akurasi paling tinggi
3,32,64,5,64,64,0.2,0.3,0.3,0.3,0.5,73.47%,73.23%,68.53%,70.36%,
9,32,64,5,64,128,0.2,0.3,0.3,0.3,0.5,74.26%,73.6%,70.16%,71.62%,
15,32,64,5,128,64,0.2,0.3,0.3,0.3,0.5,73.25%,72.52%,70.75%,71.31%,
21,32,64,5,128,128,0.2,0.3,0.3,0.3,0.5,74.5%,73.62%,70.2%,71.7%,
5,32,64,7,64,64,0.2,0.3,0.3,0.3,0.5,74.5%,73.56%,70.41%,71.82%,
11,32,64,7,64,128,0.2,0.3,0.3,0.3,0.5,74.86%,72.64%,72.81%,72.66%,F1 dan recall  Paling tinggi
17,32,64,7,128,64,0.2,0.3,0.3,0.3,0.5,74.13%,74.61%,69.12%,71.49%,
23,32,64,7,128,128,0.2,0.3,0.3,0.3,0.5,74.11%,72.27%,70.77%,71.33%,
25,32,128,3,64,64,0.2,0.3,0.3,0.3,0.5,74.37%,74.44%,70.4%,71.98%,
31,32,128,3,64,128,0.2,0.3,0.3,0.3,0.5,73.43%,73.23%,66.59%,69.47%,
37,32,128,3,128,64,0.2,0.3,0.3,0.3,0.5,72.97%,72.3%,70.65%,71.29%,
43,32,128,3,128,128,0.2,0.3,0.3,0.3,0.5,73.43%,72.06%,70.11%,71.0%,
27,32,128,5,64,64,0.2,0.3,0.3,0.3,0.5,73.32%,72.97%,70.79%,71.32%,
33,32,128,5,64,128,0.2,0.3,0.3,0.3,0.5,74.18%,75.19%,69.73%,71.99%,presisi paling tinggi
39,32,128,5,128,64,0.2,0.3,0.3,0.3,0.5,73.38%,71.4%,72.58%,71.7%,
45,32,128,5,128,128,0.2,0.3,0.3,0.3,0.5,73.57%,71.37%,70.97%,71.12%,
29,32,128,7,64,64,0.2,0.3,0.3,0.3,0.5,73.73%,73.25%,69.15%,71.05%,
35,32,128,7,64,128,0.2,0.3,0.3,0.3,0.5,73.51%,72.68%,70.0%,71.18%,
41,32,128,7,128,64,0.2,0.3,0.3,0.3,0.5,72.65%,71.93%,69.62%,70.41%,
47,32,128,7,128,128,0.2,0.3,0.3,0.3,0.5,72.72%,71.54%,71.66%,71.35%,
2,64,64,3,64,64,0.2,0.3,0.3,0.3,0.5,73.58%,72.0%,71.46%,71.54%,
8,64,64,3,64,128,0.2,0.3,0.3,0.3,0.5,72.93%,70.56%,71.0%,70.67%,
14,64,64,3,128,64,0.2,0.3,0.3,0.3,0.5,72.74%,72.35%,69.4%,70.5%,
20,64,64,3,128,128,0.2,0.3,0.3,0.3,0.5,74.03%,72.74%,70.83%,71.53%,
4,64,64,5,64,64,0.2,0.3,0.3,0.3,0.5,74.22%,72.74%,70.45%,71.46%,
10,64,64,5,64,128,0.2,0.3,0.3,0.3,0.5,74.2%,72.99%,70.33%,71.54%,
16,64,64,5,128,64,0.2,0.3,0.3,0.3,0.5,72.14%,71.6%,69.62%,70.08%,
22,64,64,5,128,128,0.2,0.3,0.3,0.3,0.5,73.12%,73.69%,68.25%,70.31%,
6,64,64,7,64,64,0.2,0.3,0.3,0.3,0.5,72.82%,70.01%,71.52%,70.62%,
12,64,64,7,64,128,0.2,0.3,0.3,0.3,0.5,74.22%,72.44%,72.72%,72.5%,
18,64,64,7,128,64,0.2,0.3,0.3,0.3,0.5,72.83%,71.98%,70.03%,70.7%,
24,64,64,7,128,128,0.2,0.3,0.3,0.3,0.5,74.78%,75.13%,69.43%,71.76%,
26,64,128,3,64,64,0.2,0.3,0.3,0.3,0.5,73.57%,72.2%,70.36%,71.12%,
32,64,128,3,64,128,0.2,0.3,0.3,0.3,0.5,73.98%,73.53%,70.65%,71.9%,
38,64,128,3,128,64,0.2,0.3,0.3,0.3,0.5,73.66%,71.23%,71.17%,71.14%,
44,64,128,3,128,128,0.2,0.3,0.3,0.3,0.5,73.47%,71.8%,72.68%,72.06%,
28,64,128,5,64,64,0.2,0.3,0.3,0.3,0.5,73.43%,71.92%,71.01%,71.36%,
34,64,128,5,64,128,0.2,0.3,0.3,0.3,0.5,74.15%,72.6%,71.0%,71.58%,
40,64,128,5,128,64,0.2,0.3,0.3,0.3,0.5,73.58%,72.74%,69.05%,70.57%,
46,64,128,5,128,128,0.2,0.3,0.3,0.3,0.5,74.43%,73.8%,70.03%,71.54%,
30,64,128,7,64,64,0.2,0.3,0.3,0.3,0.5,74.63%,73.67%,71.28%,72.36%,
36,64,128,7,64,128,0.2,0.3,0.3,0.3,0.5,74.02%,72.64%,70.4%,71.44%,
42,64,128,7,128,64,0.2,0.3,0.3,0.3,0.5,73.6%,72.54%,70.66%,71.32%,
48,64,128,7,128,128,0.2,0.3,0.3,0.3,0.5,72.52%,70.8%,72.47%,71.42%,
