slang,normal,similarity
78,kg,0.55345494
kasii,kasia,0.64190805
pantasnya,pantas,0.73493373
maenin,demen,0.57747495
tein,kismet,0.44464213
ketau,kalo,0.6258595
item2,item,0.6285487
ciki,gehu,0.6357359
cay,juhi,0.53795403
lgsg,klw,0.73920435
deee,edun,0.6223152
dosa2,dosa,0.7025186
klahiran,kelahiran,0.61200225
kaliman,kalimantang,0.63709605
naekin,sekin,0.5954618
clara,sinta,0.53437924
voi,yei,0.55053276
imah,ifah,0.50795066
shock,syok,0.59035295
kesukaanku,kesukaan,0.58393
gad,ehe,0.5749069
sheep,mohair,0.5042318
yaman,mekah,0.50272393
diferent,ligas,0.51068413
kerjaku,kerja,0.56306785
rare,langka,0.4442234
pejuh,kontol,0.56650734
asline,teral,0.6032917
nyambut,menyambut,0.6594833
teksi,bas,0.59781015
batasin,terbatasi,0.55873686
hilangin,hilang,0.6382951
nick,nama,0.36408207
ibuknya,ibuk,0.6196985
wasu,boma,0.4749629
humma,allahumma,0.79849017
husss,edun,0.6278223
baturaja,sekayu,0.6263513
aploud,majang,0.46536818
lepaslah,melepaskan,0.6147435
dilebarkan,menyerong,0.5185471
aws,afk,0.88569295
pejabat2,pejabat,0.75017315
setegar,tegar,0.66860193
tapsel,simalungun,0.58294564
kentir,kentong,0.55920315
dimensinya,dimensi,0.770996
buatpun,pun,0.68514824
sepikan,bertepikan,0.6540125
berenti,berhenti,0.57294345
aer,kaci,0.5299218
mereka2,sprt,0.5034134
maafin,maaf,0.5995044
bgni,aj.,0.74870574
ngilang,ilang,0.6515337
ikutnya,ikut,0.6280039
dikondisikan,terkondisikan,0.7545213
menasehati,menasihati,0.75029725
memojokan,pemojokan,0.73980427
logical,logika,0.55957764
terah,kebang,0.6012756
kesabarannya,kesabaran,0.7635605
terakus,terbuas,0.5829573
kake,kakek,0.58247817
gelinya,gelinjang,0.64893365
tanamkan,menanamkan,0.6902553
kbagian,tegmen,0.60829556
